Id,Name,Description,Documentation URL,Category,Core,Git ref,extension.json URL
signatories,ocds_contract_signatories,Adds an array of OrganizationReference's to the contract section OCDS to support explicit declaration of the signatories for a contract.,https://github.com/open-contracting/ocds_contract_signatories_extension,contract,no,master,https://raw.githubusercontent.com/open-contracting/ocds_contract_signatories_extension/master/extension.json
documentation,Document Details,"This extension captures additional details about documentation, as identified in consultation for the OCDS PPP extension. ",https://github.com/open-contracting/ocds_documentation_extension,ppp,no,master,https://raw.githubusercontent.com/open-contracting/ocds_documentation_extension/master/extension.json
transactions_relatedmilestones,ocds_transactions_relatedMilestone_extension,Adds a relatedImplementationMilestone property to the transactions object so that disbursements can be linked with their associated milestone.,https://github.com/open-contracting/ocds_transactions_relatedMilestone_extension,ppp,no,master,https://raw.githubusercontent.com/open-contracting/ocds_transactions_relatedMilestone_extension/master/extension.json
requirements,Requirements,https://github.com/open-contracting/standard/issues/223,https://github.com/open-contracting/ocds_requirements_extension,tender,no,master,https://raw.githubusercontent.com/open-contracting/ocds_requirements_extension/master/extension.json
tariffs,ocds_tariffs_extension,The tariffs extension introduces support for disclosure of structured data on the user fees associated with a public private partnership project.,https://github.com/open-contracting/ocds_tariffs_extension,ppp,no,master,https://raw.githubusercontent.com/open-contracting/ocds_tariffs_extension/master/extension.json
performance_failures,Performance Failures Extension,Adds fields to the implementation section to allow disclosure of an array of contracting performance failures. Based on the performance failures reporting table defined in the World Bank Framework for Disclosure in PPPs.,https://github.com/open-contracting/ocds_performance_failures,implementation,no,master,https://raw.githubusercontent.com/open-contracting/ocds_performance_failures/master/extension.json
risk_allocation,ocds-riskAllocation-extension,Draft risk allocation extension for ppp extension,https://github.com/open-contracting/ocds-riskAllocation-extension,ppp,no,master,https://raw.githubusercontent.com/open-contracting/ocds-riskAllocation-extension/master/extension.json
qualification,ocds_qualification_extension,Draft extension for PPPs to add a qualification section between planning and tender. Currently this is another tender object. See discussion in https://github.com/open-contracting/public-private-partnerships/issues/36,https://github.com/open-contracting/ocds_qualification_extension,ppp,no,master,https://raw.githubusercontent.com/open-contracting/ocds_qualification_extension/master/extension.json
shareholders,ocds-shareholders-extension,The shareholders extension can be used to attach company ownership details to each party in the parties array.,https://github.com/open-contracting/ocds-shareholders-extension,ppp,no,master,https://raw.githubusercontent.com/open-contracting/ocds-shareholders-extension/master/extension.json
metrics,Metrics,"The metrics extension supports publication of forecasts (planning stage), targets (tender stage), agreed performance targets (award and contract stage) and results (implementation stage).",https://github.com/open-contracting/ocds_metrics_extension,ppp,no,master,https://raw.githubusercontent.com/open-contracting/ocds_metrics_extension/master/extension.json
ppp,OCDS for PPPs (Alpha),This extension collects together a number of schema additions required by the OCDS for PPPs implementation profile. Some of these may later be factored out into their own extensions.,http://standard.open-contracting.org/profiles/ppp/latest/en/,ppp,no,master,https://raw.githubusercontent.com/open-contracting/public-private-partnerships/master/extension.json
finance,Financing,"Capturing details of the finance arranged for a contract, including loans, grants and other finance sources.",https://github.com/open-contracting/ocds_finance_extension,ppp,no,master,https://raw.githubusercontent.com/open-contracting/ocds_finance_extension/master/extension.json
budget_breakdown,Budget Breakdown,Providing a breakdown of budgets by year and source,https://github.com/open-contracting/ocds_budget_breakdown_extension,ppp,no,master,https://raw.githubusercontent.com/open-contracting/ocds_budget_breakdown_extension/master/extension.json
